timezone;offset;offsetDst;offsetInH;offsetDstInH
Etc/GMT-10;36000;36000;10;10
Etc/GMT-11;39600;39600;11;11
Etc/GMT-12;43200;43200;12;12
Etc/GMT-13;46800;46800;13;13
Etc/GMT-14;50400;50400;14;14
Etc/GMT-2;7200;7200;2;2
Etc/GMT-3;10800;10800;3;3
Etc/GMT-4;14400;14400;4;4
Etc/GMT-5;18000;18000;5;5
Etc/GMT-6;21600;21600;6;6
Etc/GMT-7;25200;25200;7;7
Etc/GMT-8;28800;28800;8;8
Etc/GMT-9;32400;32400;9;9
Etc/GMT0;0;0;0;0
Etc/Greenwich;0;0;0;0
Etc/UCT;0;0;0;0
Etc/UTC;0;0;0;0
Etc/Universal;0;0;0;0
Etc/Zulu;0;0;0;0
Europe/Amsterdam;3600;7200;1;2
Europe/Andorra;3600;7200;1;2
Europe/Astrakhan;14400;14400;4;4
Europe/Athens;7200;10800;2;3
Europe/Belfast;0;3600;0;1
Europe/Belgrade;3600;7200;1;2
Europe/Berlin;3600;7200;1;2
Europe/Bratislava;3600;7200;1;2
Europe/Brussels;3600;7200;1;2
Europe/Bucharest;7200;10800;2;3
Europe/Budapest;3600;7200;1;2
Europe/Busingen;3600;7200;1;2
Europe/Chisinau;7200;10800;2;3
Europe/Copenhagen;3600;7200;1;2
Europe/Dublin;0;3600;0;1
Europe/Gibraltar;3600;7200;1;2
Europe/Guernsey;0;3600;0;1
Europe/Helsinki;7200;10800;2;3
Europe/Isle_of_Man;0;3600;0;1
Europe/Istanbul;7200;10800;2;3
Europe/Jersey;0;3600;0;1
Europe/Kaliningrad;7200;10800;2;3
Europe/Kirov;10800;10800;3;3
Europe/Kyiv;7200;10800;2;3
Europe/Lisbon;0;3600;0;1
Europe/Ljubljana;3600;7200;1;2
Europe/London;0;3600;0;1
Europe/Luxembourg;3600;7200;1;2
Europe/Madrid;3600;7200;1;2
Europe/Malta;3600;7200;1;2
Europe/Mariehamn;7200;10800;2;3
Europe/Minsk;10800;10800;3;3
Europe/Monaco;3600;7200;1;2
Europe/Moscow;10800;10800;3;3
Europe/Nicosia;7200;10800;2;3
Europe/Oslo;3600;7200;1;2
Europe/Paris;3600;7200;1;2
Europe/Podgorica;3600;7200;1;2
Europe/Prague;3600;7200;1;2
Europe/Riga;7200;10800;2;3
Europe/Rome;3600;7200;1;2
Europe/Samara;14400;14400;4;4
Europe/San_Marino;3600;7200;1;2
Europe/Sarajevo;3600;7200;1;2
Europe/Saratov;14400;14400;4;4
Europe/Simferopol;7200;10800;2;3
Europe/Skopje;3600;7200;1;2
Europe/Sofia;7200;10800;2;3
Europe/Stockholm;3600;7200;1;2
Europe/Tallinn;7200;10800;2;3
Europe/Tirane;3600;7200;1;2
Europe/Tiraspol;7200;10800;2;3
Europe/Uzhgorod;7200;10800;2;3
Europe/Vaduz;3600;7200;1;2
